plant,Q,network,subset
CLPU,0.125,Goatgrass_2022_spring,serpentine
DEVA,0.1518565248738284,Goatgrass_2022_spring,serpentine
DICA,0.23162071846282373,Goatgrass_2022_spring,serpentine
EUSP,0.26376964578935025,Goatgrass_2022_spring,serpentine
GITR,0.6666666666666666,Goatgrass_2022_spring,serpentine
LACA,0.7480228872375869,Goatgrass_2022_spring,serpentine
LODA,0.017241379310344827,Goatgrass_2022_spring,serpentine
LOHO,0.10230538140020899,Goatgrass_2022_spring,serpentine
LUBI,0.1293759512937595,Goatgrass_2022_spring,serpentine
LUMI,0.39408795962509,Goatgrass_2022_spring,serpentine
LUNA,0.05012531328320802,Goatgrass_2022_spring,serpentine
LUSU,0.14781746031746032,Goatgrass_2022_spring,serpentine
MICA,0.057468239564428314,Goatgrass_2022_spring,serpentine
PHIM,0.125,Goatgrass_2022_spring,serpentine
PLER,0.2408625730994152,Goatgrass_2022_spring,serpentine
RACA,0.06764567702805777,Goatgrass_2022_spring,serpentine
SIBE,0.2763157894736842,Goatgrass_2022_spring,serpentine
TRBI,0.05263157894736842,Goatgrass_2022_spring,serpentine
TRER,0.047619047619047616,Goatgrass_2022_spring,serpentine
TRFU,0.25560992950412564,Goatgrass_2022_spring,serpentine
TRHI,0.1,Goatgrass_2022_spring,serpentine
URLI,0.04127255925201131,Goatgrass_2022_spring,serpentine
WYAN,0.53125,Goatgrass_2022_spring,serpentine
ACMO,0.49629629629629624,Goatgrass_2023_spring,full
AGHE,0.8368383924478108,Goatgrass_2023_spring,full
AMME,0.5,Goatgrass_2023_spring,full
DICA,0.02564102564102564,Goatgrass_2023_spring,full
GITR,0.17142857142857143,Goatgrass_2023_spring,full
LACA,0.6391271473624414,Goatgrass_2023_spring,full
LAMI,0.05075757575757575,Goatgrass_2023_spring,full
LODA,0.5,Goatgrass_2023_spring,full
LOHO,0.3830532212885153,Goatgrass_2023_spring,full
MICA,0.125,Goatgrass_2023_spring,full
PHIM,0.6083333333333334,Goatgrass_2023_spring,full
PLER,1,Goatgrass_2023_spring,full
RACA,0.07585470085470085,Goatgrass_2023_spring,full
RILE,0.08333333333333333,Goatgrass_2023_spring,full
SIBE,0.19403341756282932,Goatgrass_2023_spring,full
Sidalcea_sp.,0.05128205128205128,Goatgrass_2023_spring,full
TRGR,1,Goatgrass_2023_spring,full
